MESH:D000077216	DLEU1
MESH:D013274	DLEU1
MESH:D015451	DLEU2
MESH:D007822	DLEU2
MESH:D007945	DLEU2
MESH:D008223	DLEU2
MESH:D010190	DLEU2
MESH:D012559	DLG2-AS1
MESH:D000077192	DLX6-AS1
MESH:D009422	DLX6-AS1
MESH:C574275	DLX6-AS1
MESH:D009223	DMPK
MESH:D006333	DMPK 3'UTR
MESH:D013274	DMTF1
MESH:D009298	DNAH10
MESH:D009101	DNAJB11-6
MESH:D010051	DNM3OS
MESH:D000077216	DNM3OS
MESH:D010300	DPY19L2P2
MESH:D000077192	DRAIC
MESH:D011471	DRAIC
MESH:C562393	DRAIC
MESH:D001749	DRAIC
MESH:D009298	DSEL
MESH:D009369	DUBR
MESH:D009298	DUSP2
MESH:D010051	DUXAP10
MESH:D013274	DUXAP8
MESH:D013274	ecCEBPA
MESH:D013274	EGFLAM-AS1
MESH:D012516	EGFR-AS1
MESH:D005909	EgoA
MESH:D005909	EGOB
MESH:D005910	EGOT
MESH:D011471	EGOT
MESH:D013274	EGOT
MESH:D000077192	EINCR1
MESH:D000077216	ElncRNA1
MESH:D009298	EML1
MESH:D002583	EMX20S
MESH:D006973	EMX2OS
MESH:D009298	ENC1
MESH:D009298	ENO1
MESH:D013683	ENSG00000230544.1
MESH:D005909	ENSG00000235427.1
MESH:D013683	ENSG00000240453.1
MESH:D013683	ENSG00000250608.1
MESH:D013683	ENSG00000254154.3
MESH:D013683	ENSG00000259484.1
MESH:D013683	ENSG00000259758.1
MESH:D011471	ENSG00000261777
MESH:D005909	ENSG00000261924.1
MESH:D013683	ENSG00000264772.1
MESH:D012208	ENST00000307533
MESH:D002294	ENST00000435885
MESH:D001172	ENST00000438399
MESH:D005909	ENST00000451515
MESH:D018805	ENST00000452391.1
MESH:D002583	ENST00000503812
MESH:D018805	ENST00000504301.1
MESH:D003324	ENST00000512246.1
MESH:D000077273	ENST00000537266
MESH:D008175	ENST00000539303
MESH:D006528	ENST00000539975
MESH:D002583	ENST00000564977
MESH:D012208	ENST00000569275
MESH:D000077192	ENST00000602301
MESH:D005910	ENST01108
